Gene,Screen,Plate,Project,Dataset,Image,Phenotype,Phenotype Term Name,Phenotype Term Accession,Phenotype Term Accession URL
MAOA,idr0009-simpson-secretion/screenA (17),0013-02--2005-09-13,-,-,230692,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
MAOA,idr0009-simpson-secretion/screenA (17),0013-05--2005-08-04,-,-,230970,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
MAOA,idr0009-simpson-secretion/screenA (17),0013-12--2005-09-27,-,-,1351596,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
MAOA,idr0009-simpson-secretion/screenA (17),0013-24--2005-09-16,-,-,231847,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
MAOA,idr0009-simpson-secretion/screenA (17),0013-34--2005-08-09,-,-,1351882,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
MAOA,idr0009-simpson-secretion/screenA (17),0013-35--2005-08-18,-,-,232788,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
MAOA,idr0013-neumann-mitocheck/screenA (10),LT0013_11,-,-,1497676,polylobed (automatic),polylobed nuclear phenotype,CMPO_0000357,http://www.ebi.ac.uk/cmpo/CMPO_0000357
MAOA,idr0013-neumann-mitocheck/screenA (10),LT0013_38,-,-,1497889,polylobed (automatic),polylobed nuclear phenotype,CMPO_0000357,http://www.ebi.ac.uk/cmpo/CMPO_0000357
MAOA,idr0013-neumann-mitocheck/screenA (10),LT0013_42,-,-,1498297,polylobed (automatic),polylobed nuclear phenotype,CMPO_0000357,http://www.ebi.ac.uk/cmpo/CMPO_0000357
TACR1,idr0009-simpson-secretion/screenA (15),0046-05--2005-08-15,-,-,302787,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
TACR1,idr0009-simpson-secretion/screenA (15),0046-13--2005-09-08,-,-,1382783,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
TACR1,idr0009-simpson-secretion/screenA (15),0046-27--2005-09-23,-,-,1383122,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
TACR1,idr0009-simpson-secretion/screenA (15),0046-41--2005-09-27,-,-,1383436,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
TACR1,idr0009-simpson-secretion/screenA (15),0046-48--2005-09-02,-,-,1383935,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
TECTA,idr0009-simpson-secretion/screenA (12),0068-03--2006-02-06,-,-,1404696,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
TECTA,idr0009-simpson-secretion/screenA (12),0068-03--2006-02-06,-,-,1404865,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenA (12),0068-10--2006-01-06,-,-,1404942,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenA (12),0068-10--2006-01-06,-,-,1405132,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
TECTA,idr0009-simpson-secretion/screenA (12),0068-15--2006-01-09,-,-,1405545,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenA (12),0068-15--2006-01-09,-,-,1405502,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
TECTA,idr0009-simpson-secretion/screenA (12),0068-17--2006-05-17,-,-,1406405,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
TECTA,idr0009-simpson-secretion/screenA (12),0068-17--2006-05-17,-,-,1406320,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenA (12),0068-28--2006-02-12,-,-,1406024,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
TECTA,idr0009-simpson-secretion/screenA (12),0068-28--2006-02-12,-,-,1406042,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenA (12),0068-46--2005-11-28,-,-,333155,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
TECTA,idr0009-simpson-secretion/screenA (12),0068-46--2005-11-28,-,-,333156,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenB (10),0308-01--2007-04-03,-,-,1324687,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenB (10),0308-02--2007-04-04,-,-,1324987,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenB (10),0308-03--2007-04-04,-,-,1325663,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenB (10),0308-04--2007-04-14,-,-,1325917,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenB (10),0308-05--2007-04-15,-,-,1326181,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenB (10),0308-07--2007-04-08,-,-,1326593,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenB (10),0308-09--2007-04-16,-,-,1326909,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenB (10),0308-10--2007-05-30,-,-,1327597,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenB (10),0308-11--2007-05-31,-,-,1327752,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
TECTA,idr0009-simpson-secretion/screenB (10),0308-12--2007-06-03,-,-,1328118,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
HRAS,idr0009-simpson-secretion/screenA (16),0009-03--2005-08-03,-,-,215375,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
HRAS,idr0009-simpson-secretion/screenA (16),0009-04--2005-09-26,-,-,216692,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
HRAS,idr0009-simpson-secretion/screenA (16),0009-18--2005-08-01,-,-,217388,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
HRAS,idr0009-simpson-secretion/screenA (16),0009-24--2005-09-15,-,-,218734,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
HRAS,idr0009-simpson-secretion/screenA (16),0009-38--2005-08-18,-,-,219218,mild inhibition of secretion,mild decrease in rate of protein secretion,CMPO_0000318,http://www.ebi.ac.uk/cmpo/CMPO_0000318
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191805,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191805,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191805,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191807,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191807,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191807,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191801,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191801,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191801,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191800,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191800,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191800,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191799,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191799,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191799,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191804,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191804,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191804,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191803,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191803,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191803,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191806,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191806,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191806,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191802,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191802,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744,-,-,3191802,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231777,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231777,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231777,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231772,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231772,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231772,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231779,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231779,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231779,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231773,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231773,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231773,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231774,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231774,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231774,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231778,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231778,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231778,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231775,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231775,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231775,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231771,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231771,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231771,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231776,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231776,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41744_illum_corrected,-,-,3231776,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204642,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204642,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204642,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204643,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204643,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204643,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204637,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204637,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204637,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204639,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204639,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204639,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204636,enriched for slightly large,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204636,low cell density,decreased cell numbers,CMPO_0000052,http://www.ebi.ac.uk/cmpo/CMPO_0000052
HRAS,idr0033-rohban-pathways/screenA (108),41749,-,-,3204636,enriched for huge,increased cell size phenotype,CMPO_0000128,http://www.ebi.ac.uk/cmpo/CMPO_0000128
